,society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
1139,DLF New Town Heights 2,1.3,6735,3,3,3,12.0,West,flat,sector 86,1931.9299999999998,1351.0,0,0,1,1,0,old property,82,1,31,450.3333333333333
1140,Rose Apartment,3.0,10482,3,5,3+,8.0,,flat,sector 28,2864.8619999999996,2003.3999999999999,1,0,0,0,0,,3,1,37,667.8
1141,M3M Soulitude,1.3,8700,3,3,2,1.0,,flat,sector 89,1287.0,900.0,0,0,0,0,1,New Property,53,1,32,300.0
1142,The Rama Apartment CGHS,2.5,10204,4,4,3+,4.0,East,flat,sector 43,3503.5,2450.0,0,0,1,0,0,old property,16,1,33,612.5
1143,Emaar Palm Heights,2.25,11250,3,3,3,22.0,,flat,sector 77,2002.0,1400.0,0,0,1,0,0,New Property,45,2,18,466.6666666666667
1144,Bestech Park View Ananda,1.45,8734,3,2,3+,3.0,,flat,sector 81,1547.26,1082.0,0,0,0,0,1,relatively new,0,1,52,360.6666666666667
1145,Godrej Aria,1.45,9062,2,2,3+,9.0,East,flat,sector 79,1496.495,1046.5,0,1,0,0,0,relatively new,88,1,49,523.25
1146,Whiteland Blissville,1.9,11363,3,3,2,0.0,,flat,sector 76,1673.6719999999998,1170.3999999999999,1,0,0,0,0,,0,1,50,390.13333333333327
1147,GLS Avenue 51,0.5,7812,3,3,1,12.0,,flat,sector 92,915.1999999999999,640.0,1,0,0,0,0,New Property,81,0,9,213.33333333333334
1148,M3M The Marina,1.45,9615,3,2,3+,9.0,,flat,sector 68,1509.5079999999998,1055.6,1,0,0,0,0,New Property,0,1,42,351.8666666666666
1149,Smart World Gems,1.05,9519,2,2,2,4.0,,flat,sector 89,1261.832,882.4000000000001,0,1,0,0,1,New Property,47,1,52,441.20000000000005
1150,BPTP Freedom Park Life,5.5,8982,5,6,3+,19.0,East,flat,sector 57,5731.44,4008.0,0,0,1,1,0,old property,120,2,9,801.6
1151,Sidhartha NCR One,0.56,4106,2,2,2,10.0,,flat,sector 95,1716.0,1200.0,1,0,0,0,0,,0,1,0,600.0
1152,Sidhartha NCR One,0.57,4179,2,2,2,10.0,,flat,sector 95,1761.76,1232.0,1,0,0,0,0,,0,1,0,616.0
1153,ATS Triumph,2.3,10000,3,4,3+,15.0,North-East,flat,sector 104,3274.7,2290.0,0,0,1,0,0,New Property,96,1,52,763.3333333333334
1154,Shree Vardhman Victoria,1.75,8205,3,5,3,7.0,,flat,sector 70,1660.23,1161.0,0,0,1,1,0,New Property,23,1,37,387.0
1155,Emaar Gurgaon Greens,1.6,9696,3,3,3,8.0,,flat,sector 102,1461.46,1022.0,1,0,0,0,0,relatively new,49,1,42,340.6666666666667
1156,Emaar Digihomes,3.95,15262,3,3,3,33.0,East,flat,sector 62,3700.8399999999997,2588.0,0,0,1,0,0,New Property,28,2,44,862.6666666666666
1157,Apex Our Homes,0.38,4108,2,2,1,9.0,,flat,sector 37c,1144.0,800.0,1,0,0,0,0,relatively new,60,1,27,400.0
1158,Signature The Roselia,0.42,6194,2,2,2,12.0,North,flat,sector 95a,813.67,569.0,0,1,0,0,0,New Property,70,2,21,284.5
1159,Sare Crescent Parc Royal Greens Phase 1,1.0,3713,4,4,3,15.0,,flat,sector 92,2022.02,1414.0,1,0,0,0,0,New Property,39,1,5,353.5
1160,Signature Global The Millennia 3,0.5,7142,3,3,2,2.0,,flat,sector 37d,1001.0,700.0,1,0,0,0,0,,19,1,49,233.33333333333334
1161,Imperia The Esfera,0.86,4886,3,3,2,0.0,,flat,sector 37c,1761.76,1232.0,0,0,0,0,1,New Property,21,1,27,410.6666666666667
1162,M3M Golfestate,5.9,17543,3,3,3,9.0,,flat,sector 65,3366.363,2354.1,0,1,0,0,0,old property,15,0,51,784.6999999999999
1163,Eldeco Accolade,0.96,6554,2,2,3,8.0,North-East,flat,sohna,1214.07,849.0,0,1,0,0,0,relatively new,25,1,18,424.5
1164,Emaar MGF The Palm Drive,2.8,14358,3,3,2,12.0,East,flat,sector 66,2288.0,1600.0,0,1,1,1,0,New Property,69,0,43,533.3333333333334
1165,GLS Arawali Homes,0.28,4307,2,2,2,12.0,,flat,sohna,650.6499999999999,454.99999999999994,1,0,0,0,0,New Property,0,1,7,227.49999999999997
1166,Shapoorji Pallonji Joyville Gurugram,2.03,12000,3,3,2,1.0,,flat,sector 102,1468.61,1027.0,1,0,0,0,0,New Property,49,1,34,342.3333333333333
1167,The New CRPF Apartments,0.75,5813,3,3,3,6.0,East,flat,sector 9a,1844.6999999999998,1290.0,0,0,0,1,0,,21,1,34,430.0
1168,BPTP Astaire Gardens,1.7,8947,4,3,3,1.0,North-East,flat,sector 70a,2717.0,1900.0,1,0,0,0,0,relatively new,26,2,50,475.0
1169,Experion Windchants,3.1,20666,2,2,3,9.0,,flat,sector 112,2145.0,1500.0,0,1,1,0,0,relatively new,80,2,40,750.0
1170,Pivotal Riddhi Siddhi,0.4,4444,2,2,2,9.0,,flat,sector 99,839.41,587.0,1,0,0,0,0,New Property,49,1,35,293.5
1171,Godrej Habitat,1.3,9002,2,2,2,6.0,,flat,sector 3,2064.92,1444.0,1,0,0,0,0,,44,1,52,722.0
1172,GLS Arawali Homes,0.26,4513,2,2,2,5.0,East,flat,sohna,823.68,576.0,1,0,0,0,0,New Property,67,1,7,288.0
1173,MVN Athens,0.24,4210,2,2,1,12.0,,flat,sohna,570.5699999999999,399.0,1,0,0,0,0,relatively new,41,1,6,199.5
1174,Shree Vardhman Mantra,0.56,7000,2,2,1,8.0,,flat,sector 67,1144.0,800.0,1,0,0,0,0,New Property,67,1,45,400.0
1175,Raheja Atlantis,5.5,18688,4,5,3+,1.0,North,flat,sector 31,2945.9429999999998,2060.1,0,1,1,1,0,relatively new,70,1,52,515.025
1176,DLF New Town Heights,1.8,7679,4,4,3+,6.0,,flat,sector 91,3351.92,2344.0,0,0,1,1,0,old property,66,1,50,586.0
1177,Tashee Capital Gateway,0.96,6500,2,2,1,4.0,North,flat,sector 111,1479.4779999999998,1034.6,0,1,0,0,0,relatively new,54,1,34,517.3
1178,Breez Global Heights,0.42,6420,2,2,2,2.0,,flat,sohna,623.6229999999999,436.09999999999997,1,0,0,0,0,New Property,60,1,42,218.04999999999998
1179,Adani Brahma Samsara Vilasa,3.35,16470,3,3,3+,3.0,,flat,sector 63,2036.0339999999999,1423.8,1,0,0,0,0,New Property,24,2,52,474.59999999999997
1180,Central Park 2 Bellevue,5.0,11627,3,4,3,14.0,North-East,flat,sector 48,6149.0,4300.0,1,0,0,0,0,old property,66,1,46,1433.3333333333333
1181,Tulip Orange,1.0,10309,3,2,2,3.0,,flat,sector 70,1387.1,970.0,1,0,0,0,0,old property,60,1,35,323.3333333333333
1182,Sobha City,2.4,17378,2,2,2,14.0,,flat,sector 108,1382.3809999999999,966.6999999999999,1,0,0,0,0,New Property,85,2,33,483.34999999999997
1183,Birla Navya,3.15,14632,3,3,3,4.0,East,flat,sector 63a,3078.218,2152.6,0,0,0,0,1,relatively new,27,1,33,717.5333333333333
1184,Ashiana Mulberry,0.95,6485,2,2,3+,3.0,,flat,sohna,1192.62,834.0,0,1,0,0,0,New Property,73,1,25,417.0
1185,Godrej Nature Plus,1.4,15124,3,2,3+,20.0,,flat,sector-33 sohna,1323.63374,925.618,1,0,0,0,0,New Property,65,1,41,308.53933333333333
1186,Central Park Flower Valley,2.15,13522,3,3,3+,1.0,,flat,sector-33 sohna,1591.59,1113.0,1,0,0,0,0,New Property,41,1,33,371.0
1187,TARC Maceo,1.8,7758,3,3,3+,0.0,North,flat,sector 91,3317.6,2320.0,0,0,0,1,0,relatively new,50,0,25,773.3333333333334
1188,Signature Global City 37D Ph 2,1.07,8237,3,3,2,2.0,North-East,flat,sector 37d,1866.1499999999999,1305.0,1,0,0,0,0,,80,1,21,435.0
1189,Raheja Vedaanta,0.7,4651,2,2,2,12.0,South,flat,sector 108,1721.72,1204.0,1,0,0,0,0,,0,1,0,602.0
1190,Eldeco Accolade,1.1,7549,3,2,3,13.0,,flat,sohna,1458.4569999999999,1019.9,1,0,0,0,0,relatively new,0,1,18,339.96666666666664
1191,Woodstock Floors,1.05,10627,2,2,2,2.0,North,flat,sector 50,1412.84,988.0,1,0,0,0,0,old property,47,1,35,494.0
1192,MVN Athens,0.25,3671,2,2,1,11.0,,flat,sohna,830.8299999999999,581.0,1,0,0,0,0,relatively new,57,2,6,290.5
1193,Adani Aangan Galleria,0.42,4941,2,2,2,3.0,,flat,sector 89a,850.8499999999999,595.0,1,0,0,0,0,relatively new,0,1,12,297.5
1194,Birla Navya,2.1,16666,2,2,2,2.0,,flat,sector 63a,1801.8,1260.0,1,0,0,0,0,,46,1,33,630.0
1195,Ramsons Kshitij,0.19,591,1,1,1,14.0,East,flat,sector 95,4593.16,3212.0,1,0,0,0,0,relatively new,28,1,5,3212.0
1196,The Arzoo CGHS,2.1,9130,4,4,3,1.0,,flat,sector 51,2631.2,1840.0,1,0,0,0,0,relatively new,56,1,32,460.0
1197,Sare Crescent Parc,1.44,7068,4,4,3,8.0,,flat,sector 92,2917.2,2040.0,1,0,0,0,0,relatively new,45,1,5,510.0
1198,Sare Crescent Parc,0.71,4933,3,3,2,6.0,,flat,sector 92,2053.48,1436.0,1,0,0,0,0,relatively new,45,1,5,478.6666666666667
1199,Breez Global Heights,0.21,5329,1,1,1,2.0,,flat,sohna,563.42,394.0,1,0,0,0,0,relatively new,15,1,42,394.0
1200,Shapoorji Pallonji Joyville Gurugram,2.5,14000,3,3,3,15.0,,flat,sector 102,1828.8269999999998,1278.8999999999999,1,0,0,0,0,relatively new,124,1,34,426.29999999999995
1201,Sare Homes,0.56,4729,3,1,3,1.0,East,flat,sector 92,1693.12,1184.0,1,0,0,0,0,old property,78,1,5,394.6666666666667
1202,HSIIDC Sidco Aravali,0.9,3477,3,3,3,2.0,,flat,manesar,2590.5879999999997,1811.6,0,0,1,0,0,,15,0,14,603.8666666666667
1203,Bestech Park View Ananda,1.35,7541,3,3,3+,8.0,North,flat,sector 81,2559.7,1790.0,1,0,0,0,0,,97,1,52,596.6666666666666
1204,Smartworld One DXP,2.0,11074,3,3,3,12.0,North,flat,sector 113,1930.5,1350.0,1,0,0,0,0,,0,1,53,450.0
1205,Tulip Lemon,0.6,11407,2,1,1,11.0,,flat,sector 69,752.18,526.0,1,0,0,0,0,,0,1,0,263.0
1206,Raheja Vedaanta,1.0,4854,2,2,2,0.0,North,flat,sector 108,2702.7,1890.0,1,0,0,0,0,,0,1,0,945.0
1207,Sare Crescent Parc,0.87,4971,4,4,2,2.0,East,flat,sector 92,1751.75,1225.0,0,0,0,0,0,old property,93,0,5,306.25
1208,Paras Irene,1.3,9219,2,2,3,19.0,,flat,sector 70a,2016.3,1410.0,1,0,0,0,0,old property,28,2,42,705.0
1209,Signature The Roselia,0.48,7164,2,2,2,6.0,,flat,sector 95a,958.0999999999999,670.0,1,0,0,0,0,relatively new,16,1,21,335.0
1210,Unitech Sunbreeze,0.75,6849,2,2,2,4.0,,flat,sector 69,1096.095,766.5,1,0,0,0,0,,0,1,35,383.25
1211,Signature Andour Heights,0.65,10172,2,2,1,10.0,South-West,flat,sector 71,775.06,542.0,1,0,0,0,0,relatively new,16,1,27,271.0
1212,RWA,0.48,6000,3,2,1,1.0,North-East,flat,sector 7,1144.0,800.0,1,0,0,0,0,New Property,14,1,24,266.6666666666667
1213,Signature Global City 63A,1.55,14783,2,2,2,2.0,,flat,sector 63a,1501.5,1050.0,1,0,0,0,0,,0,1,43,525.0
1214,Housing Board Colony,0.3,7317,1,1,2,0.0,South,flat,sector 51,586.3,410.0,1,0,0,0,0,,0,1,40,410.0
1215,Vatika Gurgaon 21,0.87,6987,2,2,2,3.0,East,flat,sector 83,1246.245,871.5,1,0,0,0,0,old property,20,1,42,435.75
1216,Dlf 76,4.0,11428,4,4,2,4.0,,flat,New Gurgaon,5005.0,3500.0,0,1,1,0,0,,78,2,14,875.0
1217,ATS Marigold,1.85,8604,3,3,3+,12.0,South-West,flat,sector 89a,2152.15,1505.0,0,0,1,0,0,New Property,23,1,34,501.6666666666667
1218,Godrej Nature Plus,1.3,8349,3,2,3+,18.0,North,flat,sector-33 sohna,1558.5569999999998,1089.8999999999999,1,0,0,0,0,New Property,45,1,41,363.29999999999995
1219,Imperia The Esfera,0.9,6272,3,3,3,9.0,East,flat,sector 37c,1573.0,1100.0,1,0,0,0,0,,0,1,27,366.6666666666667
1220,DLF Icon,5.8,20707,4,4,3+,18.0,,flat,sector 53,3204.344,2240.8,1,0,0,0,0,,0,1,42,560.2
1221,AIPL Zen Residences,1.4,11094,2,2,2,16.0,North-East,flat,sector 70a,1144.0,800.0,1,0,0,0,0,,0,1,26,400.0
1222,CHD Avenue 71,0.95,7917,2,2,0,5.0,South,flat,sector 71,1372.8,960.0,1,0,0,0,0,,0,1,30,480.0
1223,Godrej Nature Plus,1.35,8670,3,2,3+,17.0,,flat,sector-33 sohna,1558.5569999999998,1089.8999999999999,1,0,0,0,0,New Property,45,1,41,363.29999999999995
1224,Shree Vardhman Flora,0.7,4615,2,2,3,9.0,North-East,flat,sector 90,1353.3519999999999,946.4,0,1,0,0,1,New Property,38,1,49,473.2
1225,Experion The Heartsong,3.0,18392,4,5,3+,2.0,South-West,flat,sector 108,2332.33,1631.0,0,0,1,0,0,relatively new,113,0,42,407.75
1226,Sare Crescent Parc,0.5,5000,2,2,3,2.0,,flat,sector 92,1001.0,700.0,1,0,0,0,0,old property,45,1,5,350.0
1227,M3M Capital,2.0,12012,3,3,2,24.0,,flat,sector 113,1666.665,1165.5,1,0,0,0,0,relatively new,50,1,51,388.5
1228,ATS Marigold,1.7,9714,3,3,3+,8.0,North,flat,sector 89a,2502.5,1750.0,0,1,0,0,0,Under Construction,61,1,34,583.3333333333334
1229,AVL 36 Gurgaon,0.65,8953,2,2,2,7.0,,flat,sector 36a,726.726,508.2,1,0,0,0,0,relatively new,69,1,14,254.1
1230,DLF The Arbour,7.52,19000,4,4,3,15.0,West,flat,sector 63,3146.0,2200.0,1,0,0,0,0,,0,1,26,550.0
1231,M3M Capital,2.87,12489,4,4,3+,3.0,North-East,flat,sector 113,3286.14,2298.0,0,0,1,0,0,New Property,54,1,51,574.5
1232,Godrej Nature Plus,1.2,14379,2,2,3,1.0,,flat,sector-33 sohna,1185.11393,828.751,1,0,0,0,0,New Property,59,1,41,414.3755
1233,Tulip Lemon,0.6,10000,2,1,1,12.0,,flat,sector 69,858.0,600.0,1,0,0,0,0,relatively new,31,1,35,300.0
1234,Shree Vardhman Victoria,1.8,9230,3,5,3,0.0,,flat,sector 70,2788.5,1950.0,1,0,0,0,0,New Property,68,1,37,650.0
1235,Signature Global Synera,0.48,8026,2,2,1,14.0,,flat,sector 81,712.14,498.0,1,0,0,0,0,relatively new,11,2,34,249.0
1236,Sahara Grace,4.3,12420,3,4,3,5.0,,flat,sector 28,3465.4619999999995,2423.3999999999996,0,0,1,0,0,,36,1,45,807.7999999999998
1237,Smart World Gems,0.9,8159,2,2,2,3.0,,flat,sector 89,1104.1029999999998,772.0999999999999,0,1,0,0,1,New Property,86,1,52,386.04999999999995
1238,Aipl Peaceful Homes,2.75,12791,3,3,3+,14.0,North-East,flat,sector 70a,2459.6,1720.0,1,0,0,0,0,,0,1,26,573.3333333333334
1239,BPTP Astaire Gardens,1.2,7058,3,3,3+,2.0,,flat,sector 70a,1701.6999999999998,1190.0,1,0,0,0,0,relatively new,41,0,50,396.6666666666667
1240,Viridian The Plaza 106,0.46,6571,1,1,1,18.0,,flat,sector 106,1001.0,700.0,1,0,0,0,0,New Property,80,1,24,700.0
1241,Signature Global City,1.1,8494,3,3,2,2.0,North,flat,sector 37d,1851.85,1295.0,1,0,0,0,0,New Property,21,1,42,431.6666666666667
1242,Pareena Mi Casa,1.15,9236,2,2,3,8.0,East,flat,sector 68,1246.245,871.5,1,0,0,0,0,New Property,28,1,52,435.75
1243,Signature Global Orchard Avenue,0.4,5479,2,2,0,0.0,,flat,sector 93,835.12,584.0,1,0,0,0,0,,0,1,25,292.0
1244,Trisara Our Homes 3,0.4,4478,2,2,2,1.0,,flat,sector 6 sohna,860.86,602.0,1,0,0,0,0,,0,1,45,301.0
1245,M3M Heights,2.25,13608,2,2,3,5.0,,flat,sector 65,2049.19,1433.0,1,0,0,0,0,relatively new,0,1,52,716.5
1246,Adani Brahma Samsara Vilasa,3.4,10000,3,3,3+,1.0,West,flat,sector 63,3403.3999999999996,2380.0,1,0,0,0,0,New Property,80,1,52,793.3333333333334
1247,Vatika Independent Floors,1.45,8056,4,3,0,1.0,,flat,sector 82,2059.2,1440.0,1,0,0,0,0,,0,1,27,360.0
1248,Tulip Violet,1.2,10909,2,3,0,0.0,,flat,sector 69,1258.3999999999999,880.0,1,0,0,0,0,,0,1,42,440.0
1249,M3M Heights,1.9,15000,2,2,3,4.0,,flat,sector 65,1262.2609999999997,882.6999999999999,1,0,0,0,0,,54,1,52,441.34999999999997
1250,HCBS Sports Ville,0.22,3142,1,1,1,1.0,,flat,sohna,1001.0,700.0,1,0,0,0,0,New Property,75,1,0,700.0
1251,GLS Arawali Homes,0.29,6035,2,2,2,9.0,East,flat,sohna,686.4,480.0,1,0,0,0,0,relatively new,50,1,7,240.0
1252,Chintamani,1.57,8509,3,3,3,1.0,North-East,flat,sector 103,1930.5,1350.0,1,0,0,0,0,,0,1,16,450.0
1253,Signature Global City,0.8,8421,2,2,2,2.0,,flat,sector 37d,950.9499999999999,665.0,1,0,0,0,0,relatively new,24,1,42,332.5
1254,Signature Global City 37D Ph 2,1.35,9375,3,3,3+,3.0,,flat,sector 37d,2059.2,1440.0,0,0,0,1,0,relatively new,58,1,21,480.0
1255,Tulip Violet,2.0,10167,4,4,1,12.0,,flat,sector 69,2812.81,1967.0,1,0,0,0,0,relatively new,45,1,42,491.75
1256,Signature Global Park,0.87,7190,3,2,3,4.0,,flat,sector 36 sohna,1244.1,870.0,1,0,0,0,0,,0,1,42,290.0
1257,Eldeco Accolade,0.78,6170,2,2,2,3.0,,flat,sohna,1265.264,884.8,1,0,0,0,0,relatively new,68,1,18,442.4
1258,Raheja Navodaya,1.1,4681,3,2,3,0.0,East,flat,sector 92,2645.5,1850.0,1,0,0,0,0,,0,1,27,616.6666666666666
1259,Housing Board Colony,0.3,3238,1,1,0,0.0,,flat,sector 51,926.64,648.0,0,1,0,0,0,old property,9,1,40,648.0
1260,Sare Green ParC Phase 3,0.79,6086,3,2,2,15.0,North,flat,sector 92,1299.2979999999998,908.5999999999999,1,0,0,0,0,New Property,17,1,26,302.8666666666666
1261,Sare Crescent Parc Royal Greens Phase 1,0.79,6086,3,2,2,15.0,,flat,sector 92,1299.2979999999998,908.5999999999999,1,0,0,0,0,New Property,21,1,5,302.8666666666666
1262,Godrej Nature Plus,1.7,12592,3,3,3+,6.0,,flat,sector-33 sohna,1930.5,1350.0,0,0,1,0,0,New Property,48,1,41,450.0
1263,Godrej Oasis,1.4,7567,3,3,3+,4.0,East,flat,sector 88a,1851.85,1295.0,1,0,0,0,0,relatively new,50,2,18,431.6666666666667
1264,Bestech Altura,2.55,9532,4,5,2,4.0,East,flat,sector 79,3060.2,2140.0,0,0,1,0,0,New Property,27,1,34,535.0
1265,Hero Homes,1.9,11249,3,3,3,16.0,,flat,sector 104,1547.26,1082.0,0,0,0,1,0,New Property,88,2,42,360.6666666666667
1266,M3M Sierra 68,1.25,10245,2,2,3,4.0,,flat,sector 68,992.42,694.0,1,0,0,0,0,New Property,27,1,42,347.0
1267,Indiabulls Centrum Park,1.65,8250,3,3,3+,15.0,,flat,sector 103,2002.0,1400.0,0,1,0,0,0,relatively new,50,1,50,466.6666666666667
1268,Sare Green Parc 2,0.75,4745,3,3,3,2.0,East,flat,sector 92,1930.5,1350.0,0,0,0,0,1,relatively new,28,2,5,450.0
1269,DLF Express Greens,1.6,6808,4,6,3+,4.0,North-East,flat,manesar,3360.5,2350.0,0,1,1,1,0,relatively new,28,1,14,587.5
1270,M3M Woodshire,1.15,7496,2,2,3,0.0,North-East,flat,sector 107,1510.08,1056.0,0,1,0,0,0,relatively new,21,1,16,528.0
1271,Hero Homes,1.4,15826,3,2,2,4.0,North,flat,sector 104,1264.12,884.0,1,0,0,0,0,relatively new,28,1,42,294.6666666666667
1272,Signature Global Park,0.75,6938,3,2,3+,4.0,East,flat,sohna,1545.83,1081.0,1,0,0,0,0,New Property,85,1,42,360.3333333333333
1273,Suncity Vatsal Valley,1.0,13340,2,2,2,3.0,,flat,sector 2,1072.5,750.0,1,0,0,0,0,New Property,8,2,51,375.0
1274,Signature Global Superbia,0.4,6728,2,2,3,2.0,,flat,sector 95,849.42,594.0,1,0,0,0,0,,0,1,51,297.0
1275,Shree Vardhman Victoria,1.75,8974,3,4,2,16.0,,flat,sector 70,2230.7999999999997,1560.0,0,0,1,1,0,relatively new,28,1,37,520.0
1276,M3M Heights,2.1,16653,2,2,3,8.0,,flat,sector 65,1144.0,800.0,1,0,0,0,0,New Property,43,1,52,400.0
1277,Smart World Orchard,2.5,16139,3,3,1,1.0,East,flat,sector 61,1772.056,1239.2,1,0,0,0,0,,0,1,51,413.06666666666666
1278,Karmyogi Apartment,2.3,6467,6,4,2,6.0,,flat,sector 10a,5085.08,3556.0,1,0,0,0,0,old property,0,1,14,592.6666666666666
1279,Emaar Palm Gardens,1.8,9474,3,4,0,9.0,,flat,sector 83,2173.6,1520.0,1,0,0,0,0,,0,1,41,506.6666666666667
1280,Smart World Orchard,2.0,12911,3,3,2,3.0,,flat,sector 61,2215.0699999999997,1549.0,0,0,0,0,1,New Property,0,1,51,516.3333333333334
1281,Supertech Araville,1.0,6535,2,2,3,4.0,,flat,sector 79,2187.9,1530.0,0,1,0,0,0,relatively new,16,1,5,765.0
1282,Orris Aster Court,0.9,5671,3,3,3,8.0,North-East,flat,sector 85,1588.5869999999998,1110.8999999999999,1,0,0,0,0,relatively new,28,1,17,370.29999999999995
1283,DLF Beverly Park,8.0,15384,5,5,3+,2.0,North-East,flat,sector 25,7436.0,5200.0,0,1,1,1,1,,16,0,45,1040.0
1284,AIPL Club Residences,0.95,10215,2,2,1,11.0,North-East,flat,sector 70a,1043.8999999999999,730.0,1,0,0,0,0,New Property,94,2,42,365.0
1285,Surya Vihar RWA,1.3,6500,5,5,2,2.0,South-East,flat,sector 21,3146.0,2200.0,0,1,1,0,0,,44,2,20,440.0
1286,M3m Golf Hills,1.45,10211,2,2,3,15.0,,flat,sector 79,2030.6,1420.0,1,0,0,0,0,,0,1,5,710.0
1287,Signature Global City,1.25,6082,3,3,3,4.0,,flat,sector 37d,2938.65,2055.0,1,0,0,0,0,,31,1,42,685.0
1288,Adani Brahma Samsara Vilasa,4.49,14254,4,4,3+,3.0,North,flat,sector 63,4504.5,3150.0,1,0,0,0,0,New Property,91,2,52,787.5
1289,DLF The Grove,6.0,25000,4,4,2,1.0,South-West,flat,sector 53,3432.0,2400.0,0,0,1,0,0,,28,2,52,600.0
1290,Suncity Vatsal Valley,1.53,10699,3,3,3,2.0,North-East,flat,sector 2,2044.8999999999999,1430.0,1,0,0,0,0,New Property,100,2,51,476.6666666666667
1291,Sare Green ParC Phase 3,0.7,5279,3,2,2,4.0,,flat,sector 92,1887.6,1320.0,1,0,0,0,0,relatively new,43,1,26,440.0
1292,Conscient Elevate,6.75,19882,4,4,2,10.0,,flat,sector 59,2652.65,1855.0,0,0,1,0,0,New Property,40,1,59,463.75
1293,Signature Global City 92,0.99,9074,3,2,3,1.0,,flat,sector 92,1248.104,872.8000000000001,1,0,0,0,0,,33,1,41,290.93333333333334
1294,Godrej Air,1.4,10000,2,2,3,23.0,,flat,sector 85,1287.0,900.0,1,0,0,0,0,,0,1,41,450.0
1295,Pyramid Urban,0.6,8571,2,2,2,14.0,,flat,sector 67a,700.6999999999999,489.99999999999994,1,0,0,0,0,New Property,15,1,31,244.99999999999997
1296,Hero Homes,1.35,9565,3,2,2,18.0,East,flat,sector 104,1231.23,861.0,1,0,0,0,0,New Property,28,1,42,287.0
1297,Central Park Flower Valley,1.2,6742,3,3,0,11.0,,flat,sohna,2036.32,1424.0,1,0,0,0,0,,0,1,0,474.6666666666667
1298,Raheja Maheshwara,0.48,4367,2,2,2,11.0,,flat,sohna,1100.099,769.3,1,0,0,0,0,relatively new,50,1,35,384.65
1299,Shapoorji Pallonji Joyville Gurugram,1.99,20664,2,2,2,14.0,South,flat,sector 102,1377.09,963.0,1,0,0,0,0,New Property,124,1,34,481.5
1300,Godrej 101,2.5,11141,3,3,3+,5.0,,flat,sector 79,2574.0,1800.0,1,0,0,0,0,,0,1,16,600.0
1301,Signature Global Park,0.58,7056,2,2,2,3.0,,flat,sector 36 sohna,858.0,600.0,1,0,0,0,0,,0,1,42,300.0
1302,Orris Aster Court,0.93,5671,3,3,3,8.0,,flat,sector 85,1787.5,1250.0,1,0,0,0,0,relatively new,0,1,17,416.6666666666667
1303,Supertech Hues,0.8,6779,2,2,3+,14.0,,flat,sector 68,1349.9199999999998,944.0,1,0,0,0,0,New Property,16,2,35,472.0
1304,"New colony, Gurgaon",0.8,8100,3,2,1,4.0,North-East,flat,sector 7,1415.7,990.0,1,0,0,0,0,relatively new,49,2,24,330.0
1305,Pyramid Urban,0.7,11844,2,2,1,14.0,North,flat,sector 67a,845.13,591.0,1,0,0,0,0,New Property,27,1,31,295.5
1306,Oriental Valley CHS,1.5,8108,4,3,3+,8.0,,flat,sector 9a,2645.5,1850.0,1,0,0,0,0,old property,20,1,39,462.5
1307,AVL 36 Gurgaon,0.4,10204,1,1,1,4.0,West,flat,sector 36a,560.56,392.0,1,0,0,0,0,relatively new,21,1,14,392.0
1308,Signature Global Grand IVA,0.5,6667,2,2,0,10.0,North,flat,sector 103,865.15,605.0,1,0,0,0,0,,0,1,18,302.5
1309,Orchid Island,1.7,10651,3,4,3,2.0,West,flat,sector 51,2282.2799999999997,1596.0,0,0,0,1,0,old property,69,1,46,532.0
1310,Pivotal Riddhi Siddhi,0.72,947,2,2,2,12.0,,flat,sector 99,10866.10954,7598.678,0,0,0,0,0,relatively new,41,1,35,3799.339
1311,Pivotal Devaan,0.35,7246,2,2,2,4.0,East,flat,sector 84,690.6899999999999,483.0,1,0,0,0,0,relatively new,23,1,36,241.5
1312,Signature Global Grand IVA,0.5,6250,2,2,2,10.0,,flat,sector 103,865.15,605.0,1,0,0,0,0,relatively new,7,1,18,302.5
1313,Kendriya Vihar,0.47,7768,1,1,1,3.0,,flat,sector 56,865.15,605.0,1,0,0,0,0,,47,2,50,605.0
1314,Parsvnath Exotica,5.0,17241,3,4,3,7.0,,flat,sector 53,4147.0,2900.0,0,0,1,0,0,,36,2,43,966.6666666666666
1315,Emaar MGF Palm Studios,1.7,13502,2,2,2,7.0,,flat,sector 66,1186.185,829.5,0,0,0,0,1,relatively new,78,1,35,414.75
1316,ILD Greens,0.95,5066,3,3,3+,0.0,,flat,sector 37c,1876.875,1312.5,1,0,0,0,0,New Property,0,1,49,437.5
1317,DLF The Skycourt,2.2,11500,3,3,1,7.0,,flat,sector 86,1931.9299999999998,1351.0,0,0,0,1,0,relatively new,76,0,25,450.3333333333333
1318,Signature Global City 81,0.82,8639,2,2,3,2.0,East,flat,sector 81,807.9499999999999,565.0,1,0,0,0,0,,0,1,5,282.5
1319,Spaze Privvy The Address,1.25,5701,4,4,3,16.0,,flat,sector 93,2431.0,1700.0,1,0,0,0,0,relatively new,0,1,41,425.0
1320,Emaar Mgf Emerald Floors,3.2,10159,4,3,2,1.0,,flat,sector 65,2502.5,1750.0,0,0,1,0,0,relatively new,0,1,23,437.5
