,society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
56,AFNHB Jalvayu Vihar,1.45,11153,3,2,2,2.0,North,flat,sector 30,1558.7,1090.0,1,0,0,0,0,,63,0,29,363.3333333333333
57,M3M Soulitude,1.25,8784,3,3,0,4.0,,flat,sector 89,1701.6999999999998,1190.0,1,0,0,0,0,,0,1,32,396.6666666666667
59,HCBS Sports Ville,0.28,3768,2,2,1,11.0,East,flat,sohna,919.49,643.0,1,0,0,0,0,relatively new,23,1,0,321.5
60,Brisk Lumbini Terrace Homes,1.38,6338,3,3,1,4.0,,flat,sector 109,3113.1099999999997,2177.0,1,0,0,0,0,old property,11,1,19,725.6666666666666
61,HUDA Ashok Vihar Phase 1,0.43,6615,2,2,1,2.0,,flat,sector 3a,929.5,650.0,1,0,0,0,0,relatively new,5,1,34,325.0
62,My Home,0.28,3166,2,1,1,2.0,,flat,sector 2,1287.0,900.0,0,0,0,0,1,relatively new,8,1,53,450.0
63,M3M Heights,2.0,13957,2,2,2,32.0,,flat,sector 65,1430.0,1000.0,1,0,0,0,0,,0,1,52,500.0
64,Signature Global Park,0.9,8035,3,2,2,2.0,South,flat,sohna,1121.12,784.0,1,0,0,0,0,,118,1,42,261.3333333333333
65,Signature Global Park,0.9,8036,3,2,0,2.0,,flat,sector 36 sohna,1281.28,896.0,1,0,0,0,0,relatively new,0,1,42,298.6666666666667
66,Godrej Nature Plus,1.75,8768,3,3,0,2.0,,flat,sector-33 sohna,2283.424,1596.8000000000002,1,0,0,0,0,,0,1,41,532.2666666666668
67,DLF New Town Heights 1,1.8,6600,4,4,3+,23.0,,flat,sector 90,2729.727,1908.8999999999999,1,0,0,0,0,old property,0,1,25,477.22499999999997
68,Central Park Flower Valley Aqua Front Towers,2.1,11738,3,3,2,6.0,,flat,sector-33 sohna,1790.7889999999998,1252.3,1,0,0,0,0,Under Construction,36,1,28,417.43333333333334
69,Ambience Creacions,2.0,14492,2,2,2,9.0,East,flat,sector 22,1973.3999999999999,1380.0,1,0,0,0,0,relatively new,28,1,49,690.0
