,society,price,bedRoom,bathroom,balcony,floorNum,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
1076,Shapoorji Pallonji Joyville Gurugram,1.8,3,3,3,1.0,flat,sector 102,1693.6919999999998,1184.4,1,0,0,0,0,relatively new,107,1,34,394.8
1077,Shapoorji Pallonji Joyville Gurugram,1.24,2,2,2,10.0,flat,sector 102,1216.215,850.5,1,0,0,0,0,relatively new,107,1,34,425.25
1078,Shapoorji Pallonji Joyville Gurugram,0.96,2,2,2,10.0,flat,sector 102,915.915,640.5,1,0,0,0,0,relatively new,102,1,34,320.25
1079,Conscient Heritage Max,1.82,3,4,3+,15.0,flat,sector 102,1943.942,1359.4,0,0,1,0,0,old property,97,1,50,453.13333333333327
1080,Conscient Heritage Max,2.65,4,5,3+,17.0,flat,sector 102,2556.554,1787.8,0,0,1,0,0,old property,97,1,50,446.95
1081,Conscient Heritage Max,2.2,3,4,3+,9.0,flat,sector 102,2151.149,1504.3,0,1,1,0,0,old property,97,1,50,501.4333333333333
1082,Conscient Heritage Max,1.78,3,4,3+,5.0,flat,sector 102,1932.931,1351.6999999999998,0,0,1,0,0,old property,97,1,50,450.5666666666666
1083,SBTL Caladium,1.68,3,3,3+,7.0,flat,sector 109,2547.545,1781.5,0,0,1,0,0,old property,102,1,16,593.8333333333334
1084,SBTL Caladium,1.3,3,2,3,16.0,flat,sector 109,1881.88,1316.0,1,0,0,0,0,old property,102,1,16,438.6666666666667
1085,Bestech Altura,1.72,3,4,3,9.0,flat,sector 79,2345.2,1640.0,1,0,0,0,0,New Property,28,1,34,546.6666666666666
1086,Ashiana Apartment,0.16,2,2,2,1.0,flat,sector 23a,780.78,546.0,1,0,0,0,0,old property,0,1,61,273.0
1087,HCBS Sports Ville,0.2,2,2,1,4.0,flat,sohna,858.0,600.0,1,0,0,0,0,New Property,11,1,0,300.0
1088,Orchid Island,0.72,2,2,1,4.0,flat,sector 51,1295.58,906.0,1,0,0,0,0,relatively new,26,1,46,453.0
1089,Signature Global Park,0.54,2,2,1,2.0,flat,sohna,1186.9,830.0,1,0,0,0,0,relatively new,28,1,42,415.0
1090,Vipul Lavanya,0.64,2,2,2,14.0,flat,sector 81,1109.68,776.0,1,0,0,0,0,old property,80,1,5,388.0
1091,Vipul World,1.38,3,3,1,2.0,flat,sector 48,2073.5,1450.0,1,0,0,0,0,relatively new,57,1,53,483.3333333333333
1092,Signature Global The Millennia 3,0.45,2,3,2,8.0,flat,sector 37d,843.6999999999999,590.0,1,0,0,0,0,relatively new,7,1,49,295.0
1093,AVL 36 Gurgaon,0.45,1,1,1,9.0,flat,sector 36a,500.5,350.0,1,0,0,0,0,relatively new,0,1,14,350.0
1094,Vatika Lifestyle Homes,1.15,3,2,3,15.0,flat,sector 83,1756.755,1228.5,1,0,0,0,0,relatively new,23,1,42,409.5
1095,Vatika City,3.6,4,5,3,7.0,flat,sector 49,4318.599999999999,3020.0,0,0,1,1,0,old property,11,0,23,755.0
1096,TARC Maceo,0.9,2,2,2,13.0,flat,sector 91,1311.3099999999995,917.0,1,0,0,0,0,relatively new,62,0,25,458.5
1097,M3M Sky Lofts,0.9,1,1,0,6.0,flat,sector 71,781.352,546.4,1,0,0,0,0,New Property,0,1,52,546.4
1098,Lotus Homz,0.5,1,1,1,2.0,flat,sector 111,480.48,336.0,1,0,0,0,0,relatively new,58,0,42,336.0
1099,M3M Heights,2.86,3,3,3,45.0,flat,sector 65,2917.2,2040.0,0,0,1,0,0,relatively new,0,1,52,680.0
1100,Ansal API Sushant Estate,0.29,1,1,0,0.0,flat,sector 52,357.5,250.0,1,0,0,0,0,old property,28,2,32,250.0
1101,Satya The Hermitage,0.89,2,3,3,1.0,flat,sector 103,1545.83,1081.0,0,0,1,0,0,relatively new,64,1,50,540.5
1102,Satya The Hermitage,1.12,3,4,3+,9.0,flat,sector 103,2145.0,1500.0,0,0,1,0,0,New Property,28,1,50,500.0
1103,GLS Avenue 51,0.5,3,3,1,0.0,flat,sector 92,640.64,448.0,1,0,0,0,0,relatively new,0,1,9,149.33333333333334
1104,Pareena Coban Residences,1.4,3,5,3+,6.0,flat,sector 99a,1998.997,1397.9,1,0,0,0,0,New Property,13,1,55,465.9666666666666
1105,DLF Regal Gardens,2.05,4,4,3+,5.0,flat,sector 90,2217.215,1550.5,1,0,0,0,0,relatively new,28,2,24,387.625
1106,Eldeco Accolade,0.87,2,2,3+,10.0,flat,sohna,1214.07,849.0,0,1,0,0,0,relatively new,68,1,18,424.5
1107,Ireo Uptown,1.32,2,2,2,6.0,flat,sector 66,1159.158,810.5999999999999,1,0,0,0,0,relatively new,58,1,24,405.3
1108,Microtek Greenburg,1.3,2,2,3,10.0,flat,sector 86,1481.48,1036.0,0,1,0,0,0,relatively new,48,1,34,518.0
1109,GLS Avenue 51,0.42,3,3,1,2.0,flat,sector 92,915.2,640.0,1,0,0,0,0,relatively new,12,1,9,213.33333333333331
1110,Orris Carnation Residency,0.88,3,3,1,1.0,flat,sector 85,1486.485,1039.5,1,0,0,0,0,relatively new,64,1,35,346.5
1111,AWHO Sispal Vihar,2.0,4,3,3+,4.0,flat,sector 49,2756.754,1927.8,1,0,0,0,0,old property,66,1,46,481.95
1112,Suncity Heights,3.85,3,3,3+,8.0,flat,sector 54,2343.3409999999994,1638.6999999999998,0,0,1,0,0,relatively new,67,1,50,546.2333333333332
1113,Signature Global City,0.68,2,2,3,9.0,flat,sector 37d,829.4,580.0,0,0,0,0,1,New Property,53,1,42,290.0
1114,Godrej Nature Plus,1.31,2,2,2,4.0,flat,sector-33 sohna,1169.72284,817.9879999999999,1,0,0,0,0,Under Construction,80,1,41,408.994
1115,Godrej Nature Plus,1.65,3,3,3,2.0,flat,sector-33 sohna,2854.28,1996.0,0,0,1,0,0,New Property,24,1,41,665.3333333333334
1116,Emaar MGF Palm Hills,1.9,3,4,3+,6.0,flat,sector 77,1741.74,1218.0,0,0,1,0,0,New Property,25,2,42,406.0
1117,TARC Maceo,1.8,4,3,3+,0.0,flat,sector 91,3317.6,2320.0,0,1,0,1,0,relatively new,47,0,25,580.0
1118,ROF Aalayas,0.45,2,2,1,14.0,flat,sector 102,765.05,535.0,1,0,0,0,0,relatively new,45,0,35,267.5
1119,Green Homes,1.85,3,3,3,7.0,flat,sector 52,2352.35,1645.0,0,0,1,0,0,old property,18,1,42,548.3333333333334
1120,AWHO Shanti Vihar,0.8,2,2,3,9.0,flat,sector 95,786.5,550.0,0,1,0,0,0,New Property,71,1,12,275.0
1121,Ansal API Esencia,1.0,3,3,3+,2.0,flat,sector 67,1555.554,1087.8,1,0,0,0,0,old property,9,1,10,362.6
1122,Spaze Privy AT4,1.2,2,2,3,3.0,flat,sector 84,1611.61,1127.0,0,1,0,0,0,relatively new,105,2,42,563.5
1123,Breez Global Hill View,0.35,2,2,2,14.0,flat,sohna,893.75,625.0,1,0,0,0,0,relatively new,82,1,44,312.5
1124,Godrej Oasis,1.15,2,2,1,12.0,flat,sector 88a,1662.23772,1162.404,0,1,0,0,0,New Property,71,1,18,581.202
1125,Sare Crescent Parc,1.0,4,4,3,9.0,flat,sector 92,2394.392,1674.4,1,0,0,0,0,relatively new,0,1,0,418.6
1126,TARC Maceo,0.96,2,2,3+,8.0,flat,sector 91,1405.4039999999998,982.8,1,0,0,0,0,old property,72,1,25,491.4
1127,DLF New Town Heights 2,1.3,3,3,3,12.0,flat,sector 86,1931.93,1351.0,0,0,1,1,0,old property,82,1,31,450.3333333333333
1128,Rose Apartment,3.0,3,5,3+,8.0,flat,sector 28,2864.862,2003.4,1,0,0,0,0,undefined,3,1,37,667.8
1129,M3M Soulitude,1.3,3,3,2,1.0,flat,sector 89,1287.0,900.0,0,0,0,0,1,New Property,53,1,32,300.0
1130,The Rama Apartment CGHS,2.5,4,4,3+,4.0,flat,sector 43,3503.5,2450.0,0,0,1,0,0,old property,16,1,33,612.5
1131,Emaar Palm Heights,2.25,3,3,3,22.0,flat,sector 77,2002.0,1400.0,0,0,1,0,0,New Property,45,2,18,466.6666666666667
1132,Bestech Park View Ananda,1.45,3,2,3+,3.0,flat,sector 81,1547.26,1082.0,0,0,0,0,1,relatively new,0,1,52,360.6666666666667
1133,Godrej Aria,1.45,2,2,3+,9.0,flat,sector 79,1496.495,1046.5,0,1,0,0,0,relatively new,88,1,49,523.25
1134,Whiteland Blissville,1.9,3,3,2,0.0,flat,sector 76,1673.6719999999998,1170.4,1,0,0,0,0,undefined,0,1,50,390.13333333333327
1135,GLS Avenue 51,0.5,3,3,1,12.0,flat,sector 92,915.2,640.0,1,0,0,0,0,New Property,81,0,9,213.33333333333331
1136,M3M The Marina,1.45,3,2,3+,9.0,flat,sector 68,1509.5079999999998,1055.6,1,0,0,0,0,New Property,0,1,42,351.8666666666666
1137,Smart World Gems,1.05,2,2,2,4.0,flat,sector 89,1261.832,882.4000000000001,0,1,0,0,1,New Property,47,1,52,441.2000000000001
1138,BPTP Freedom Park Life,5.5,5,6,3+,19.0,flat,sector 57,5731.44,4008.0,0,0,1,1,0,old property,120,2,9,801.6
1139,Sidhartha NCR One,0.56,2,2,2,10.0,flat,sector 95,1716.0,1200.0,1,0,0,0,0,New Property,0,1,0,600.0
1140,Sidhartha NCR One,0.57,2,2,2,10.0,flat,sector 95,1761.76,1232.0,1,0,0,0,0,New Property,0,1,0,616.0
1141,ATS Triumph,2.3,3,4,3+,15.0,flat,sector 104,3274.7,2290.0,0,0,1,0,0,New Property,96,1,52,763.3333333333334
1142,Shree Vardhman Victoria,1.75,3,5,3,7.0,flat,sector 70,1660.23,1161.0,0,0,1,1,0,New Property,23,1,37,387.0
1143,Emaar Gurgaon Greens,1.6,3,3,3,8.0,flat,sector 102,1461.46,1022.0,1,0,0,0,0,relatively new,49,1,42,340.6666666666667
1144,Emaar Digihomes,3.95,3,3,3,33.0,flat,sector 62,3700.84,2588.0,0,0,1,0,0,New Property,28,2,44,862.6666666666666
1145,Apex Our Homes,0.38,2,2,1,9.0,flat,sector 37c,1144.0,800.0,1,0,0,0,0,relatively new,60,1,27,400.0
1146,Signature The Roselia,0.42,2,2,2,12.0,flat,sector 95a,813.67,569.0,0,1,0,0,0,New Property,70,2,21,284.5
1147,Sare Crescent Parc Royal Greens Phase 1,1.0,4,4,3,15.0,flat,sector 92,2022.02,1414.0,1,0,0,0,0,New Property,39,1,5,353.5
1148,Signature Global The Millennia 3,0.5,3,3,2,2.0,flat,sector 37d,1001.0,700.0,1,0,0,0,0,relatively new,19,1,49,233.33333333333331
1149,Imperia The Esfera,0.86,3,3,2,0.0,flat,sector 37c,1761.76,1232.0,0,0,0,0,1,New Property,21,1,27,410.6666666666667
1150,M3M Golfestate,5.9,3,3,3,9.0,flat,sector 65,3366.363,2354.1,0,1,0,0,0,old property,15,0,51,784.6999999999999
1151,Eldeco Accolade,0.96,2,2,3,8.0,flat,sohna,1214.07,849.0,0,1,0,0,0,relatively new,25,1,18,424.5
1152,Emaar MGF The Palm Drive,2.8,3,3,2,12.0,flat,sector 66,2288.0,1600.0,0,1,1,1,0,New Property,69,0,43,533.3333333333334
1153,GLS Arawali Homes,0.28,2,2,2,12.0,flat,sohna,650.6499999999999,455.0,1,0,0,0,0,New Property,0,1,7,227.5
1154,Shapoorji Pallonji Joyville Gurugram,2.03,3,3,2,1.0,flat,sector 102,1468.61,1027.0,1,0,0,0,0,New Property,49,1,34,342.3333333333333
1155,The New CRPF Apartments,0.75,3,3,3,6.0,flat,sector 9a,1844.7,1290.0,0,0,0,1,0,undefined,21,1,34,430.0
1156,BPTP Astaire Gardens,1.7,4,3,3,1.0,flat,sector 70a,2717.0,1900.0,1,0,0,0,0,relatively new,26,2,50,475.0
1157,Experion Windchants,3.1,2,2,3,9.0,flat,sector 112,2145.0,1500.0,0,1,1,0,0,relatively new,80,2,40,750.0
1158,Pivotal Riddhi Siddhi,0.4,2,2,2,9.0,flat,sector 99,839.41,587.0,1,0,0,0,0,New Property,49,1,35,293.5
1159,Godrej Habitat,1.3,2,2,2,6.0,flat,sector 3,2064.92,1444.0,1,0,0,0,0,old property,44,1,52,722.0
1160,GLS Arawali Homes,0.26,2,2,2,5.0,flat,sohna,823.68,576.0,1,0,0,0,0,New Property,67,1,7,288.0
1161,MVN Athens,0.24,2,2,1,12.0,flat,sohna,570.5699999999999,399.0,1,0,0,0,0,relatively new,41,1,6,199.5
1162,Shree Vardhman Mantra,0.56,2,2,1,8.0,flat,sector 67,1144.0,800.0,1,0,0,0,0,New Property,67,1,45,400.0
1163,Raheja Atlantis,5.5,4,5,3+,1.0,flat,sector 31,2945.943,2060.1,0,1,1,1,0,relatively new,70,1,52,515.025
1164,DLF New Town Heights,1.8,4,4,3+,6.0,flat,sector 91,3351.92,2344.0,0,0,1,1,0,old property,66,1,50,586.0
1165,Tashee Capital Gateway,0.96,2,2,1,4.0,flat,sector 111,1479.4779999999998,1034.6,0,1,0,0,0,relatively new,54,1,34,517.3
1166,Breez Global Heights,0.42,2,2,2,2.0,flat,sohna,623.6229999999999,436.1,1,0,0,0,0,New Property,60,1,42,218.05
1167,Adani Brahma Samsara Vilasa,3.35,3,3,3+,3.0,flat,sector 63,2036.034,1423.8,1,0,0,0,0,New Property,24,2,52,474.6
1168,Central Park 2 Bellevue,5.0,3,4,3,14.0,flat,sector 48,6149.0,4300.0,1,0,0,0,0,old property,66,1,46,1433.3333333333333
1169,Tulip Orange,1.0,3,2,2,3.0,flat,sector 70,1387.1,970.0,1,0,0,0,0,old property,60,1,35,323.3333333333333
1170,Sobha City,2.4,2,2,2,14.0,flat,sector 108,1382.381,966.7,1,0,0,0,0,New Property,85,2,33,483.35
1171,Birla Navya,3.15,3,3,3,4.0,flat,sector 63a,3078.218,2152.6,0,0,0,0,1,relatively new,27,1,33,717.5333333333333
1172,Ashiana Mulberry,0.95,2,2,3+,3.0,flat,sohna,1192.62,834.0,0,1,0,0,0,New Property,73,1,25,417.0
1173,Godrej Nature Plus,1.4,3,2,3+,20.0,flat,sector-33 sohna,1323.63374,925.618,1,0,0,0,0,New Property,65,1,41,308.53933333333333
1174,Central Park Flower Valley,2.15,3,3,3+,1.0,flat,sector-33 sohna,1591.59,1113.0,1,0,0,0,0,New Property,41,1,33,371.0
1175,TARC Maceo,1.8,3,3,3+,0.0,flat,sector 91,3317.6,2320.0,0,0,0,1,0,relatively new,50,0,25,773.3333333333334
1176,Signature Global City 37D Ph 2,1.07,3,3,2,2.0,flat,sector 37d,1866.15,1305.0,1,0,0,0,0,relatively new,80,1,21,435.0
1177,Raheja Vedaanta,0.7,2,2,2,12.0,flat,sector 108,1721.72,1204.0,1,0,0,0,0,relatively new,0,1,0,602.0
1178,Eldeco Accolade,1.1,3,2,3,13.0,flat,sohna,1458.457,1019.9,1,0,0,0,0,relatively new,0,1,18,339.96666666666664
1179,Woodstock Floors,1.05,2,2,2,2.0,flat,sector 50,1412.84,988.0,1,0,0,0,0,old property,47,1,35,494.0
1180,MVN Athens,0.25,2,2,1,11.0,flat,sohna,830.8299999999999,581.0,1,0,0,0,0,relatively new,57,2,6,290.5
1181,Adani Aangan Galleria,0.42,2,2,2,3.0,flat,sector 89a,850.8499999999999,595.0,1,0,0,0,0,relatively new,0,1,12,297.5
1182,Birla Navya,2.1,2,2,2,2.0,flat,sector 63a,1801.8,1260.0,1,0,0,0,0,undefined,46,1,33,630.0
1183,Ramsons Kshitij,0.19,1,1,1,14.0,flat,sector 95,4593.16,3212.0,1,0,0,0,0,relatively new,28,1,5,3212.0
1184,The Arzoo CGHS,2.1,4,4,3,1.0,flat,sector 51,2631.2,1840.0,1,0,0,0,0,relatively new,56,1,32,460.0
1185,Sare Crescent Parc,1.44,4,4,3,8.0,flat,sector 92,2917.2,2040.0,1,0,0,0,0,relatively new,45,1,5,510.0
1186,Sare Crescent Parc,0.71,3,3,2,6.0,flat,sector 92,2053.48,1436.0,1,0,0,0,0,relatively new,45,1,5,478.6666666666667
1187,Breez Global Heights,0.21,1,1,1,2.0,flat,sohna,563.42,394.0,1,0,0,0,0,relatively new,15,1,42,394.0
1188,Shapoorji Pallonji Joyville Gurugram,2.5,3,3,3,15.0,flat,sector 102,1828.827,1278.9,1,0,0,0,0,relatively new,124,1,34,426.3
1189,Sare Homes,0.56,3,1,3,1.0,flat,sector 92,1693.12,1184.0,1,0,0,0,0,old property,78,1,5,394.6666666666667
1190,HSIIDC Sidco Aravali,0.9,3,3,3,2.0,flat,manesar,2590.588,1811.6,0,0,1,0,0,old property,15,0,14,603.8666666666667
1191,Bestech Park View Ananda,1.35,3,3,3+,8.0,flat,sector 81,2559.7,1790.0,1,0,0,0,0,relatively new,97,1,52,596.6666666666666
1192,Smartworld One DXP,2.0,3,3,3,12.0,flat,sector 113,1930.5,1350.0,1,0,0,0,0,New Property,0,1,53,450.0
1193,Tulip Lemon,0.6,2,1,1,11.0,flat,sector 69,752.18,526.0,1,0,0,0,0,relatively new,0,1,0,263.0
1194,Raheja Vedaanta,1.0,2,2,2,0.0,flat,sector 108,2702.7,1890.0,1,0,0,0,0,relatively new,0,1,0,945.0
1195,Sare Crescent Parc,0.87,4,4,2,2.0,flat,sector 92,1751.75,1225.0,0,0,0,0,0,old property,93,0,5,306.25
1196,Paras Irene,1.3,2,2,3,19.0,flat,sector 70a,2016.3,1410.0,1,0,0,0,0,old property,28,2,42,705.0
1197,Signature The Roselia,0.48,2,2,2,6.0,flat,sector 95a,958.1,670.0,1,0,0,0,0,relatively new,16,1,21,335.0
1198,Unitech Sunbreeze,0.75,2,2,2,4.0,flat,sector 69,1096.095,766.5,1,0,0,0,0,relatively new,0,1,35,383.25
1199,Signature Andour Heights,0.65,2,2,1,10.0,flat,sector 71,775.06,542.0,1,0,0,0,0,relatively new,16,1,27,271.0
1200,RWA,0.48,3,2,1,1.0,flat,sector 7,1144.0,800.0,1,0,0,0,0,New Property,14,1,24,266.6666666666667
1201,Signature Global City 63A,1.55,2,2,2,2.0,flat,sector 63a,1501.5,1050.0,1,0,0,0,0,undefined,0,1,43,525.0
1202,Housing Board Colony,0.3,1,1,2,0.0,flat,sector 51,586.3,410.0,1,0,0,0,0,old property,0,1,40,410.0
1203,Vatika Gurgaon 21,0.87,2,2,2,3.0,flat,sector 83,1246.245,871.5,1,0,0,0,0,old property,20,1,42,435.75
1204,Dlf 76,4.0,4,4,2,4.0,flat,New Gurgaon,5005.0,3500.0,0,1,1,0,0,Under Construction,78,2,14,875.0
1205,ATS Marigold,1.85,3,3,3+,12.0,flat,sector 89a,2152.15,1505.0,0,0,1,0,0,New Property,23,1,34,501.6666666666667
1206,Godrej Nature Plus,1.3,3,2,3+,18.0,flat,sector-33 sohna,1558.5569999999998,1089.9,1,0,0,0,0,New Property,45,1,41,363.3
1207,Imperia The Esfera,0.9,3,3,3,9.0,flat,sector 37c,1573.0,1100.0,1,0,0,0,0,relatively new,0,1,27,366.6666666666667
1208,DLF Icon,5.8,4,4,3+,18.0,flat,sector 53,3204.344,2240.8,1,0,0,0,0,undefined,0,1,42,560.2
1209,AIPL Zen Residences,1.4,2,2,2,16.0,flat,sector 70a,1144.0,800.0,1,0,0,0,0,relatively new,0,1,26,400.0
1210,CHD Avenue 71,0.95,2,2,0,5.0,flat,sector 71,1372.8,960.0,1,0,0,0,0,old property,0,1,30,480.0
1211,Godrej Nature Plus,1.35,3,2,3+,17.0,flat,sector-33 sohna,1558.5569999999998,1089.9,1,0,0,0,0,New Property,45,1,41,363.3
1212,Shree Vardhman Flora,0.7,2,2,3,9.0,flat,sector 90,1353.352,946.4,0,1,0,0,1,New Property,38,1,49,473.2
1213,Experion The Heartsong,3.0,4,5,3+,2.0,flat,sector 108,2332.33,1631.0,0,0,1,0,0,relatively new,113,0,42,407.75
1214,Sare Crescent Parc,0.5,2,2,3,2.0,flat,sector 92,1001.0,700.0,1,0,0,0,0,old property,45,1,5,350.0
1215,M3M Capital,2.0,3,3,2,24.0,flat,sector 113,1666.665,1165.5,1,0,0,0,0,relatively new,50,1,51,388.5
1216,ATS Marigold,1.7,3,3,3+,8.0,flat,sector 89a,2502.5,1750.0,0,1,0,0,0,Under Construction,61,1,34,583.3333333333334
1217,AVL 36 Gurgaon,0.65,2,2,2,7.0,flat,sector 36a,726.726,508.2,1,0,0,0,0,relatively new,69,1,14,254.1
1218,DLF The Arbour,7.52,4,4,3,15.0,flat,sector 63,3146.0,2200.0,1,0,0,0,0,New Property,0,1,26,550.0
1219,M3M Capital,2.87,4,4,3+,3.0,flat,sector 113,3286.14,2298.0,0,0,1,0,0,New Property,54,1,51,574.5
1220,Godrej Nature Plus,1.2,2,2,3,1.0,flat,sector-33 sohna,1185.11393,828.751,1,0,0,0,0,New Property,59,1,41,414.3755
1221,Tulip Lemon,0.6,2,1,1,12.0,flat,sector 69,858.0,600.0,1,0,0,0,0,relatively new,31,1,35,300.0
1222,Shree Vardhman Victoria,1.8,3,5,3,0.0,flat,sector 70,2788.5,1950.0,1,0,0,0,0,New Property,68,1,37,650.0
1223,Signature Global Synera,0.48,2,2,1,14.0,flat,sector 81,712.14,498.0,1,0,0,0,0,relatively new,11,2,34,249.0
1224,Sahara Grace,4.3,3,4,3,5.0,flat,sector 28,3465.4619999999995,2423.4,0,0,1,0,0,undefined,36,1,45,807.7999999999998
1225,Smart World Gems,0.9,2,2,2,3.0,flat,sector 89,1104.1029999999998,772.0999999999999,0,1,0,0,1,New Property,86,1,52,386.05
1226,Aipl Peaceful Homes,2.75,3,3,3+,14.0,flat,sector 70a,2459.6,1720.0,1,0,0,0,0,relatively new,0,1,26,573.3333333333334
1227,BPTP Astaire Gardens,1.2,3,3,3+,2.0,flat,sector 70a,1701.6999999999998,1190.0,1,0,0,0,0,relatively new,41,0,50,396.6666666666667
1228,Viridian The Plaza 106,0.46,1,1,1,18.0,flat,sector 106,1001.0,700.0,1,0,0,0,0,New Property,80,1,24,700.0
1229,Signature Global City,1.1,3,3,2,2.0,flat,sector 37d,1851.85,1295.0,1,0,0,0,0,New Property,21,1,42,431.6666666666667
1230,Pareena Mi Casa,1.15,2,2,3,8.0,flat,sector 68,1246.245,871.5,1,0,0,0,0,New Property,28,1,52,435.75
1231,Signature Global Orchard Avenue,0.4,2,2,0,0.0,flat,sector 93,835.12,584.0,1,0,0,0,0,relatively new,0,1,25,292.0
1232,Trisara Our Homes 3,0.4,2,2,2,1.0,flat,sector 6 sohna,860.86,602.0,1,0,0,0,0,undefined,0,1,45,301.0
1233,M3M Heights,2.25,2,2,3,5.0,flat,sector 65,2049.19,1433.0,1,0,0,0,0,relatively new,0,1,52,716.5
1234,Adani Brahma Samsara Vilasa,3.4,3,3,3+,1.0,flat,sector 63,3403.4,2380.0,1,0,0,0,0,New Property,80,1,52,793.3333333333334
1235,Vatika Independent Floors,1.45,4,3,0,1.0,flat,sector 82,2059.2,1440.0,1,0,0,0,0,relatively new,0,1,27,360.0
1236,Tulip Violet,1.2,2,3,0,0.0,flat,sector 69,1258.4,880.0,1,0,0,0,0,relatively new,0,1,42,440.0
1237,M3M Heights,1.9,2,2,3,4.0,flat,sector 65,1262.2609999999995,882.6999999999999,1,0,0,0,0,relatively new,54,1,52,441.35
1238,HCBS Sports Ville,0.22,1,1,1,1.0,flat,sohna,1001.0,700.0,1,0,0,0,0,New Property,75,1,0,700.0
1239,GLS Arawali Homes,0.29,2,2,2,9.0,flat,sohna,686.4,480.0,1,0,0,0,0,relatively new,50,1,7,240.0
1240,Chintamani,1.57,3,3,3,1.0,flat,sector 103,1930.5,1350.0,1,0,0,0,0,relatively new,0,1,16,450.0
1241,Signature Global City,0.8,2,2,2,2.0,flat,sector 37d,950.95,665.0,1,0,0,0,0,relatively new,24,1,42,332.5
1242,Signature Global City 37D Ph 2,1.35,3,3,3+,3.0,flat,sector 37d,2059.2,1440.0,0,0,0,1,0,relatively new,58,1,21,480.0
1243,Tulip Violet,2.0,4,4,1,12.0,flat,sector 69,2812.81,1967.0,1,0,0,0,0,relatively new,45,1,42,491.75
1244,Signature Global Park,0.87,3,2,3,4.0,flat,sector 36 sohna,1244.1,870.0,1,0,0,0,0,undefined,0,1,42,290.0
1245,Eldeco Accolade,0.78,2,2,2,3.0,flat,sohna,1265.264,884.8,1,0,0,0,0,relatively new,68,1,18,442.4
1246,Raheja Navodaya,1.1,3,2,3,0.0,flat,sector 92,2645.5,1850.0,1,0,0,0,0,relatively new,0,1,27,616.6666666666666
1247,Housing Board Colony,0.3,1,1,0,0.0,flat,sector 51,926.64,648.0,0,1,0,0,0,old property,9,1,40,648.0
1248,Sare Green ParC Phase 3,0.79,3,2,2,15.0,flat,sector 92,1299.2979999999998,908.6,1,0,0,0,0,New Property,17,1,26,302.8666666666666
1249,Sare Crescent Parc Royal Greens Phase 1,0.79,3,2,2,15.0,flat,sector 92,1299.2979999999998,908.6,1,0,0,0,0,New Property,21,1,5,302.8666666666666
1250,Godrej Nature Plus,1.7,3,3,3+,6.0,flat,sector-33 sohna,1930.5,1350.0,0,0,1,0,0,New Property,48,1,41,450.0
1251,Godrej Oasis,1.4,3,3,3+,4.0,flat,sector 88a,1851.85,1295.0,1,0,0,0,0,relatively new,50,2,18,431.6666666666667
1252,Bestech Altura,2.55,4,5,2,4.0,flat,sector 79,3060.2,2140.0,0,0,1,0,0,New Property,27,1,34,535.0
1253,Hero Homes,1.9,3,3,3,16.0,flat,sector 104,1547.26,1082.0,0,0,0,1,0,New Property,88,2,42,360.6666666666667
1254,M3M Sierra 68,1.25,2,2,3,4.0,flat,sector 68,992.42,694.0,1,0,0,0,0,New Property,27,1,42,347.0
1255,Indiabulls Centrum Park,1.65,3,3,3+,15.0,flat,sector 103,2002.0,1400.0,0,1,0,0,0,relatively new,50,1,50,466.6666666666667
1256,Sare Green Parc 2,0.75,3,3,3,2.0,flat,sector 92,1930.5,1350.0,0,0,0,0,1,relatively new,28,2,5,450.0
1257,DLF Express Greens,1.6,4,6,3+,4.0,flat,manesar,3360.5,2350.0,0,1,1,1,0,relatively new,28,1,14,587.5
1258,M3M Woodshire,1.15,2,2,3,0.0,flat,sector 107,1510.08,1056.0,0,1,0,0,0,relatively new,21,1,16,528.0
1259,Hero Homes,1.4,3,2,2,4.0,flat,sector 104,1264.12,884.0,1,0,0,0,0,relatively new,28,1,42,294.6666666666667
1260,Signature Global Park,0.75,3,2,3+,4.0,flat,sohna,1545.83,1081.0,1,0,0,0,0,New Property,85,1,42,360.3333333333333
1261,Suncity Vatsal Valley,1.0,2,2,2,3.0,flat,sector 2,1072.5,750.0,1,0,0,0,0,New Property,8,2,51,375.0
1262,Signature Global Superbia,0.4,2,2,3,2.0,flat,sector 95,849.42,594.0,1,0,0,0,0,New Property,0,1,51,297.0
1263,Shree Vardhman Victoria,1.75,3,4,2,16.0,flat,sector 70,2230.8,1560.0,0,0,1,1,0,relatively new,28,1,37,520.0
1264,M3M Heights,2.1,2,2,3,8.0,flat,sector 65,1144.0,800.0,1,0,0,0,0,New Property,43,1,52,400.0
1265,Smart World Orchard,2.5,3,3,1,1.0,flat,sector 61,1772.056,1239.2,1,0,0,0,0,New Property,0,1,51,413.06666666666666
1266,Karmyogi Apartment,2.3,6,4,2,6.0,flat,sector 10a,5085.08,3556.0,1,0,0,0,0,old property,0,1,14,592.6666666666666
1267,Emaar Palm Gardens,1.8,3,4,0,9.0,flat,sector 83,2173.6,1520.0,1,0,0,0,0,relatively new,0,1,41,506.6666666666667
1268,Smart World Orchard,2.0,3,3,2,3.0,flat,sector 61,2215.07,1549.0,0,0,0,0,1,New Property,0,1,51,516.3333333333334
1269,Supertech Araville,1.0,2,2,3,4.0,flat,sector 79,2187.9,1530.0,0,1,0,0,0,relatively new,16,1,5,765.0
